region_code,region,ward_code,ward,district_code,district,municipality_code,municipality,precinct,voters_eligible,ballots_given_out,voter_turnout_pct,voted_in_person,voted_in_person_pct,voted_by_mail,voted_by_mail_pct,ballots_valid,ballots_valid_pct,ballots_valid_tip,ballots_valid_pct_tip,ballots_preferential_tip,ballots_preferential_pct_tip,ballots_valid_sms,ballots_valid_pct_sms,ballots_preferential_sms,ballots_preferential_pct_sms,ballots_valid_olano,ballots_valid_pct_olano,ballots_preferential_olano,ballots_preferential_pct_olano,ballots_valid_kanik,ballots_valid_pct_kanik,ballots_preferential_kanik,ballots_preferential_pct_kanik,ballots_valid_sanca,ballots_valid_pct_sanca,ballots_preferential_sanca,ballots_preferential_pct_sanca,ballots_valid_kollar,ballots_valid_pct_kollar,ballots_preferential_kollar,ballots_preferential_pct_kollar,ballots_valid_szs,ballots_valid_pct_szs,ballots_preferential_szs,ballots_preferential_pct_szs,ballots_valid_spolocne,ballots_valid_pct_spolocne,ballots_preferential_spolocne,ballots_preferential_pct_spolocn,ballots_valid_mkda,ballots_valid_pct_mkda,ballots_preferential_mkda,ballots_preferential_pct_mkds,ballots_valid_vzdor,ballots_valid_pct_vzdor,ballots_preferential_vzdor,ballots_preferential_pct_vzdor,ballots_valid_most,ballots_valid_pct_most,ballots_preferential_most,ballots_preferential_pct_most,ballots_valid_sns,ballots_valid_pct_sns,ballots_preferential_sns,ballots_preferential_pct_sns,ballots_valid_odvaha,ballots_valid_pct_odvaha,ballots_preferential_odvaha,ballots_preferential_pct_odvaha,ballots_valid_kss,ballots_valid_pct_kss,ballots_preferential_kss,ballots_preferential_pct_kss,ballots_valid_sdku,ballots_valid_pct_sdku,ballots_preferential_sdku,ballots_preferential_pct_sdku,ballots_valid_smer,ballots_valid_pct_smer,ballots_preferential_smer,ballots_preferential_pct_smer,ballots_valid_kdh,ballots_valid_pct_kdh,ballots_preferential_kdh,ballots_preferential_pct_kdh,ballots_valid_skok,ballots_valid_pct_skok,ballots_preferential_skok,ballots_preferential_pct_skok,ballots_valid_lsns,ballots_valid_pct_lsns,ballots_preferential_lsns,ballots_preferential_pct_lsns,ballots_valid_siet,ballots_valid_pct_siet,ballots_preferential_siet,ballots_preferential_pct_siet,ballots_valid_smk,ballots_valid_pct_smk,ballots_preferential_smk,ballots_preferential_pct_smk,ballots_valid_pd,ballots_valid_pct_pd,ballots_preferential_pd,ballots_preferential_pct_pd,ballots_valid_sas,ballots_valid_pct_sas,ballots_preferential_sas,ballots_preferential_pct_sas
1,"Bratislavsky kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Stare Mesto","Bratislava - Stare Mesto 01",1165,833,71.5,819,98.31,14,1.68,828,99.39,2,.24,2,100,0,0,0,0,128,15.45,121,94.53,0,0,0,0,2,.24,1,50,38,4.58,29,76.31,7,.84,3,42.85,0,0,0,0,0,0,0,0,0,0,0,0,120,14.49,100,83.33,29,3.5,22,75.86,0,0,0,0,1,.12,1,100,1,.12,1,100,115,13.88,83,72.17,38,4.58,29,76.31,10,1.2,10,100,13,1.57,8,61.53,77,9.29,59,76.62,3,.36,3,100,2,.24,2,100,242,29.22,208,85.95
1,"Bratislavsky kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Stare Mesto","Bratislava - Stare Mesto 02",1130,813,71.94,797,98.03,15,1.84,803,98.89,4,.49,4,100,0,0,0,0,144,17.93,141,97.91,2,.24,2,100,1,.12,0,0,39,4.85,28,71.79,1,.12,0,0,0,0,0,0,0,0,0,0,1,.12,1,100,120,14.94,110,91.66,28,3.48,15,53.57,2,.24,1,50,4,.49,3,75,4,.49,3,75,119,14.81,88,73.94,38,4.73,32,84.21,6,.74,4,66.66,21,2.61,16,76.19,46,5.72,30,65.21,0,0,0,0,0,0,0,0,223,27.77,187,83.85
1,"Bratislavsky kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Stare Mesto","Bratislava - Stare Mesto 03",1071,733,68.44,709,96.72,24,3.27,725,98.9,1,.13,1,100,0,0,0,0,96,13.24,96,100,1,.13,1,100,1,.13,1,100,19,2.62,19,100,6,.82,6,100,0,0,0,0,0,0,0,0,0,0,0,0,135,18.62,135,100,24,3.31,24,100,0,0,0,0,4,.55,4,100,3,.41,3,100,107,14.75,107,100,31,4.27,31,100,14,1.93,14,100,14,1.93,14,100,44,6.06,44,100,11,1.51,11,100,0,0,0,0,214,29.51,213,99.53
1,"Bratislavsky kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Stare Mesto","Bratislava - Stare Mesto 04",1011,682,67.45,682,100,0,0,677,99.26,1,.14,1,100,0,0,0,0,110,16.24,99,90,0,0,0,0,4,.59,4,100,24,3.54,19,79.16,1,.14,0,0,1,.14,1,100,0,0,0,0,0,0,0,0,93,13.73,83,89.24,40,5.9,29,72.5,1,.14,1,100,0,0,0,0,3,.44,3,100,98,14.47,68,69.38,31,4.57,28,90.32,9,1.32,6,66.66,9,1.32,9,100,38,5.61,25,65.78,4,.59,3,75,0,0,0,0,210,31.01,177,84.28
1,"Bratislavsky kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Stare Mesto","Bratislava - Stare Mesto 05",1337,861,64.39,854,99.18,7,.81,856,99.41,1,.11,1,100,3,.35,2,66.66,121,14.13,112,92.56,1,.11,1,100,1,.11,1,100,29,3.38,26,89.65,4,.46,3,75,1,.11,1,100,0,0,0,0,0,0,0,0,115,13.43,103,89.56,33,3.85,23,69.69,0,0,0,0,2,.23,1,50,3,.35,2,66.66,101,11.79,79,78.21,33,3.85,26,78.78,15,1.75,11,73.33,18,2.1,14,77.77,62,7.24,45,72.58,4,.46,3,75,3,.35,3,100,306,35.74,261,85.29
1,"Bratislavsky kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Stare Mesto","Bratislava - Stare Mesto 06",1114,746,66.96,736,98.65,10,1.34,745,99.86,5,.67,3,60,0,0,0,0,90,12.08,75,83.33,1,.13,1,100,3,.4,3,100,35,4.69,30,85.71,6,.8,4,66.66,0,0,0,0,0,0,0,0,2,.26,1,50,93,12.48,76,81.72,38,5.1,28,73.68,1,.13,1,100,1,.13,1,100,6,.8,4,66.66,117,15.7,80,68.37,48,6.44,42,87.5,18,2.41,17,94.44,29,3.89,21,72.41,46,6.17,35,76.08,8,1.07,8,100,0,0,0,0,198,26.57,176,88.88
1,"Bratislavsky kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Stare Mesto","Bratislava - Stare Mesto 07",1269,885,69.73,878,99.2,7,.79,880,99.43,5,.56,4,80,2,.22,2,100,171,19.43,166,97.07,0,0,0,0,0,0,0,0,24,2.72,14,58.33,5,.56,4,80,1,.11,1,100,1,.11,1,100,0,0,0,0,107,12.15,94,87.85,22,2.5,16,72.72,1,.11,1,100,1,.11,1,100,3,.34,3,100,85,9.65,63,74.11,92,10.45,86,93.47,6,.68,6,100,29,3.29,26,89.65,60,6.81,45,75,9,1.02,7,77.77,0,0,0,0,256,29.09,218,85.15
1,"Bratislavsky kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Stare Mesto","Bratislava - Stare Mesto 08",1157,826,71.39,813,98.42,13,1.57,820,99.27,0,0,0,0,0,0,0,0,138,16.82,126,91.3,0,0,0,0,0,0,0,0,29,3.53,26,89.65,6,.73,5,83.33,0,0,0,0,0,0,0,0,0,0,0,0,107,13.04,88,82.24,37,4.51,27,72.97,0,0,0,0,5,.6,3,60,3,.36,3,100,138,16.82,107,77.53,64,7.8,59,92.18,10,1.21,9,90,25,3.04,17,68,43,5.24,36,83.72,5,.6,3,60,2,.24,2,100,208,25.36,181,87.01
1,"Bratislavsky kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Stare Mesto","Bratislava - Stare Mesto 09",1532,668,43.6,659,98.65,9,1.34,664,99.4,1,.15,1,100,2,.3,2,100,121,18.22,112,92.56,0,0,0,0,3,.45,3,100,36,5.42,29,80.55,5,.75,5,100,0,0,0,0,0,0,0,0,2,.3,2,100,73,10.99,59,80.82,28,4.21,18,64.28,0,0,0,0,2,.3,1,50,2,.3,1,50,84,12.65,59,70.23,25,3.76,20,80,22,3.31,18,81.81,17,2.56,11,64.7,34,5.12,24,70.58,5,.75,0,0,2,.3,1,50,200,30.12,163,81.5
1,"Bratislavsky kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Stare Mesto","Bratislava - Stare Mesto 10",1516,1177,77.63,1174,99.74,3,.25,1170,99.4,2,.17,1,50,1,.08,1,100,235,20.08,210,89.36,1,.08,0,0,3,.25,2,66.66,37,3.16,27,72.97,5,.42,3,60,1,.08,0,0,0,0,0,0,0,0,0,0,89,7.6,81,91.01,50,4.27,26,52,1,.08,0,0,2,.17,1,50,2,.17,0,0,163,13.93,125,76.68,64,5.47,58,90.62,18,1.53,15,83.33,32,2.73,24,75,92,7.86,65,70.65,3,.25,3,100,2,.17,2,100,367,31.36,297,80.92
